date,time,inttime,B,A
20240314,74500000,745,129.223153081437,128.818553504887
20240314,80000000,800,129.757340402523,128.818553504887
20240314,81500000,815,128.612668299762,128.818553504887
20240314,83000000,830,128.766643557412,128.818553504887
20240314,84500000,845,129.48882686877,128.818553504887
20240314,90000000,900,128.500959553471,128.818553504887
20240314,91500000,915,129.798552138446,129.173407454058
20240314,93000000,930,129.161618286758,129.6027812988
20240314,94500000,945,127.461691407106,127.878179567737
20240314,100000000,1000,128.392669755099,128.965317467206
20240314,101500000,1015,127.352160548615,127.721378930465
20240314,103000000,1030,127.562423431344,127.845615071904
20240314,104500000,1045,128.179078089973,128.313396678607
20240314,110000000,1100,127.971632433963,128.178290689307
20240314,111500000,1115,128.383954524269,128.653871805923
20240314,113000000,1130,126.997098721217,127.214495690231
20240314,114500000,1145,127.857139625535,127.91367076131
20240314,120000000,1200,126.869640180538,127.051111663599
20240314,121500000,1215,128.27173233137,128.306570284549
20240314,123000000,1230,127.002342555556,127.222219376947
20240314,124500000,1245,127.769649658137,128.139654559313
20240314,130000000,1300,125.771326663644,126.320947447663
20240314,131500000,1315,125.838260008276,126.231670708374
20240314,133000000,1330,126.865046487571,127.269266821064
20240314,134500000,1345,127.322042046135,127.684005852516
20240314,140000000,1400,126.090837233661,126.259848021272
20240314,141500000,1415,127.475930909512,127.472984555586
20240314,143000000,1430,127.025056614269,127.02670811308
20240314,144500000,1445,125.928844332323,126.118216389016
20240314,150000000,1500,125.561698828416,125.828693752908
20240314,151500000,1515,125.152009004205,125.58506101314
20240314,153000000,1530,125.366881732081,125.629266243442
20240314,154500000,1545,125.502918491994,125.629266243442
20240314,160000000,1600,125.986397405748,125.629266243442
20240314,161500000,1615,126.263279183634,125.629266243442
20240314,163000000,1630,125.726476367634,125.629266243442
20240314,164500000,1645,125.817786748796,125.629266243442
20240314,170000000,1700,126.035217190874,125.629266243442
20240314,171500000,1715,125.299694238915,125.629266243442
20240314,173000000,1730,125.701263779034,125.629266243442
20240314,174500000,1745,125.609379971795,125.629266243442
20240314,180000000,1800,125.326120607456,125.629266243442
20240314,181500000,1815,126.001013714693,125.629266243442
20240314,183000000,1830,125.713171299392,125.629266243442
20240314,184500000,1845,125.854522133761,125.629266243442
20240314,190000000,1900,125.323032324457,125.629266243442
20240314,191500000,1915,125.396933712291,125.629266243442
20240314,193000000,1930,125.456105914397,125.629266243442
20240314,194500000,1945,125.623256556626,125.629266243442
20240314,200000000,2000,125.148288354419,125.629266243442
20240314,201500000,2015,125.182799541272,125.629266243442
20240314,203000000,2030,125.306993522766,125.629266243442
20240314,204500000,2045,125.080954354313,125.629266243442
20240314,210000000,2100,124.879093710827,125.629266243442
20240314,211500000,2115,125.480508686276,125.629266243442
20240314,213000000,2130,125.575704241609,125.629266243442
20240314,214500000,2145,125.277026248574,125.629266243442
20240314,220000000,2200,125.344948170389,125.629266243442
20240314,221500000,2215,124.98990159098,125.629266243442
20240314,223000000,2230,124.620868380041,125.629266243442
20240314,224500000,2245,124.891887275566,125.629266243442
20240314,230000000,2300,125.154782412842,125.629266243442
20240314,231500000,2315,124.952512758791,125.629266243442
20240314,233000000,2330,124.879717980025,125.629266243442
20240314,234500000,2345,125.311519093297,125.629266243442
20240315,0,0,126.011479068033,125.629266243442
20240315,1500000,15,126.326349265824,125.629266243442
20240315,3000000,30,124.489488641217,125.629266243442
20240315,4500000,45,125.625490450251,125.629266243442
20240315,10000000,100,124.594405689228,125.629266243442
20240315,11500000,115,124.585831404614,125.629266243442
20240315,13000000,130,126.05904562487,125.629266243442
20240315,14500000,145,125.947142342056,125.629266243442
20240315,20000000,200,126.315781538791,125.629266243442
20240315,21500000,215,124.744098029516,125.629266243442
20240315,23000000,230,125.750520653974,125.629266243442
20240315,24500000,245,126.00150982239,125.629266243442
20240315,30000000,300,124.817684129297,125.629266243442
20240315,31500000,315,126.095107923213,125.629266243442
